gene	log2FC	padj	dataset
TNC	4.85973818828451	4.38656505871098e-8	NEW_GSE94335
PDIK1L	4.46870252357539	6.5097982759913e-4	NEW_GSE94335
NA	4.45823897909271	1.41519091851283e-5	NEW_GSE94335
NA	4.18274071875355	0.0284485963694298	NEW_GSE94335
IL6	4.13745726793573	2.42267573112678e-5	NEW_GSE94335
NA	4.10077025452583	0.0456295806867925	NEW_GSE94335
GANAB	3.98183109347503	0.0111547265570406	NEW_GSE94335
SLC14A1	3.94506635249017	1.81360985911884e-8	NEW_GSE94335
PHTF2	3.93779234674872	2.966722023229e-4	NEW_GSE94335
TMBIM6	3.91625207773179	0.0190996772611296	NEW_GSE94335
ADCY7	3.87039155271172	0.00287551265465905	NEW_GSE94335
WARS	3.84865447179703	0.0055786967792361	NEW_GSE94335
EGR2	3.76750174840339	1.25930528788322e-8	NEW_GSE94335
CAB39L	3.73497055291583	0.00429333140489626	NEW_GSE94335
PXDN	3.73273373924226	0.010910110569718	NEW_GSE94335
MEST	3.62556899588737	6.11101860039912e-5	NEW_GSE94335
IL6	3.56091117918908	2.6130429940444e-6	NEW_GSE94335
FMO1	3.54911562241959	2.04757560727002e-5	NEW_GSE94335
VCAM1	3.52782796889234	1.102954132897e-4	NEW_GSE94335
CD44	3.51498572902209	0.0419985372814446	NEW_GSE94335
TBC1D1	3.43679472338838	0.00272658335770512	NEW_GSE94335
SLC6A9	3.38075620182923	1.4868421378763e-4	NEW_GSE94335
CHD3	3.37552735078303	9.74746967074586e-5	NEW_GSE94335
TSC22D4	3.37126696613568	3.15046100980212e-5	NEW_GSE94335
CDH6	3.32535500689914	0.00138542489505257	NEW_GSE94335
