gene	log2FC	padj	dataset
ZBTB16	-7.55787	5.22628e-7	OLD_GSE52778
PRODH	-6.18102	0.00147013	OLD_GSE52778
LGI3	-5.43578	0.0178841	OLD_GSE52778
STEAP4	-4.98859	5.29851e-10	OLD_GSE52778
SPARCL1	-4.70349	0	OLD_GSE52778
FAM107A	-4.66617	6.96821e-6	OLD_GSE52778
KLF15	-4.57548	0	OLD_GSE52778
TSPAN8	-4.16812	0.0185046	OLD_GSE52778
RASL11B	-4.0332	5.59216e-5	OLD_GSE52778
FKBP5	-3.95257	0	OLD_GSE52778
ITGA10	-3.94749	1.21737e-7	OLD_GSE52778
ADRA1B	-3.93028	3.08223e-7	OLD_GSE52778
SLC16A12	-3.88224	0.00356813	OLD_GSE52778
SAMHD1	-3.83146	0	OLD_GSE52778
GPX3	-3.76295	0	OLD_GSE52778
DLL4	-3.74384	0.00619066	OLD_GSE52778
INHBB	-3.53117	3.58297e-8	OLD_GSE52778
CACNB2	-3.3606	1.11027e-6	OLD_GSE52778
C7	-3.35354	0	OLD_GSE52778
SERPINA3	-3.34375	0	OLD_GSE52778
MAOA	-3.292	0	OLD_GSE52778
C13orf15	-3.26837	2.50041e-13	OLD_GSE52778
TSC22D3	-3.26657	2.50041e-13	OLD_GSE52778
PER1	-3.20034	3.64345e-12	OLD_GSE52778
LEP	-3.17127	3.99172e-4	OLD_GSE52778
