gene	log2FC	padj	dataset
LOC148145	4.37292	0.0238256	OLD_GSE52778
RN5-8S1	4.08234	0.0244277	OLD_GSE52778
SLC14A1	4.08008	0.00762443	OLD_GSE52778
VCAM1	3.57635	2.02179e-5	OLD_GSE52778
FER1L6	3.20458	9.12628e-6	OLD_GSE52778
GPR68	3.18124	0.00619066	OLD_GSE52778
WNT2	3.16588	4.92147e-6	OLD_GSE52778
SLC7A14	2.97886	8.89021e-6	OLD_GSE52778
AQP3	2.90758	5.41607e-4	OLD_GSE52778
TSLP	2.88183	5.07452e-4	OLD_GSE52778
PRSS35	2.85035	8.32923e-4	OLD_GSE52778
G0S2	2.75261	0.0339051	OLD_GSE52778
AIF1L	2.72646	0.00619066	OLD_GSE52778
PIEZO2	2.69003	0.00136316	OLD_GSE52778
SIPA1L2	2.66793	0.00324891	OLD_GSE52778
NEK10	2.62934	0.0227628	OLD_GSE52778
NOV	2.59654	2.12417e-6	OLD_GSE52778
PGBD5	2.58502	0.00361805	OLD_GSE52778
PLA2G4A	2.55856	0.00536934	OLD_GSE52778
RPS6KA5	2.54928	0.0189234	OLD_GSE52778
FAM46C	2.5442	0.00963094	OLD_GSE52778
KCTD12	2.5242	1.12018e-11	OLD_GSE52778
TNFAIP6	2.48553	1.48072e-4	OLD_GSE52778
SOX4	2.40849	5.11346e-9	OLD_GSE52778
LIF	2.40821	0.00293627	OLD_GSE52778
