gene	log2FC	padj	dataset
TSC22D3	-3.76029747574765	1.75185608746234e-197	NEW_GSE94335
GLUL	-2.46907005581971	5.69320293454121e-162	NEW_GSE94335
GLUL	-2.51447508129152	1.39451907153635e-145	NEW_GSE94335
FKBP5	-3.38709646403289	4.1795816598377e-118	NEW_GSE94335
SAMHD1	-2.65936488788019	7.0108225398592e-116	NEW_GSE94335
GLUL	-1.87472438721351	3.08166746010779e-84	NEW_GSE94335
FOXO1	-1.67961398913478	2.24499393021762e-74	NEW_GSE94335
ALOX15B	-6.50023759106897	8.75208164195299e-70	NEW_GSE94335
GLUL	-2.56869039335469	2.01349758703209e-66	NEW_GSE94335
GLUL	-2.60966908946251	2.55046961593619e-63	NEW_GSE94335
CCDC69	-1.56647875035719	8.45366041576234e-59	NEW_GSE94335
CRISPLD2	-2.62776928272518	1.93906830029837e-55	NEW_GSE94335
NKD1	-2.20363299798483	2.23905367184303e-55	NEW_GSE94335
PIK3R1	-1.41492298478072	1.44140216716534e-51	NEW_GSE94335
NOV	1.96811034821896	6.54532898354611e-50	NEW_GSE94335
USP53	-2.56196598014346	6.07062084942037e-45	NEW_GSE94335
MMD	-1.49250733739191	1.42985140897089e-42	NEW_GSE94335
TRNP1	-1.3137163569819	2.46089035120393e-42	NEW_GSE94335
ALOX15B	-5.71407866427842	9.09395200483333e-42	NEW_GSE94335
SCN7A	-1.52328710215245	1.89822737794115e-41	NEW_GSE94335
CAT	-1.23353190089052	8.78440605849153e-41	NEW_GSE94335
NR1D2	1.26812342355117	1.12503021169581e-40	NEW_GSE94335
NID1	-1.66604087446984	6.78096088837773e-40	NEW_GSE94335
NA	-5.56494769246955	2.29941700194016e-39	NEW_GSE94335
CDH6	1.20278615657653	1.83536563940613e-38	NEW_GSE94335
GPRC5B	-1.1926233618757	2.29196555902013e-38	NEW_GSE94335
SORT1	-1.44331889353419	5.37705941742675e-38	NEW_GSE94335
FAM107A	-3.56233841474618	6.93904197330914e-38	NEW_GSE94335
MEST	1.99265669042816	1.60587161693608e-36	NEW_GSE94335
SH3PXD2B	-1.15104144433834	2.85538015617981e-35	NEW_GSE94335
RHOJ	1.28099845332084	1.5372055993789e-34	NEW_GSE94335
LGI3	-5.25941221465383	5.65269206324858e-34	NEW_GSE94335
LRRC16A	-1.12846879608479	6.46235480348507e-34	NEW_GSE94335
NA	-1.16877052080988	6.46235480348507e-34	NEW_GSE94335
SERPINA3	-1.48522841507372	7.1344579370569e-34	NEW_GSE94335
TBX18	1.2308627874765	2.36606369428967e-33	NEW_GSE94335
VLDLR	1.2535826009718	5.67399186609029e-33	NEW_GSE94335
ANXA2	-1.15244771308181	9.8356247581358e-33	NEW_GSE94335
