gene	log2FC	padj	dataset
1/2-SBSRNA4	0.121744	0.999906	OLD_GSE52778
A1BG	-0.402168	0.999906	OLD_GSE52778
A1BG-AS1	-0.711454	0.999906	OLD_GSE52778
A1CF	0.899812	1	OLD_GSE52778
A2LD1	-0.045497	0.999906	OLD_GSE52778
A2M	-0.192883	0.999906	OLD_GSE52778
A2ML1	0.976507	1	OLD_GSE52778
A2MP1	1.79769e+308	1	OLD_GSE52778
A4GALT	-0.52375	0.999906	OLD_GSE52778
A4GNT	-0.0533446	1	OLD_GSE52778
AA06	0	1	OLD_GSE52778
AAA1	0	1	OLD_GSE52778
AAAS	-0.0156521	0.999906	OLD_GSE52778
AACS	0.16662	0.999906	OLD_GSE52778
AACSP1	0	1	OLD_GSE52778
AADAC	-0.305558	1	OLD_GSE52778
AADACL2	1.26758	1	OLD_GSE52778
AADACL3	0	1	OLD_GSE52778
AADACL4	-1.79738	1	OLD_GSE52778
AADAT	0.486035	0.999906	OLD_GSE52778
AAGAB	0.190795	0.999906	OLD_GSE52778
AAK1	0.105412	0.999906	OLD_GSE52778
AAMP	-0.313818	0.999906	OLD_GSE52778
AANAT	-0.521939	1	OLD_GSE52778
AARS	0.570687	0.841558	OLD_GSE52778
AARS2	0.731503	0.766302	OLD_GSE52778
AARSD1	9.23624e-05	0.999906	OLD_GSE52778
AASDH	0.116183	0.999906	OLD_GSE52778
AASDHPPT	-0.00119574	0.999906	OLD_GSE52778
AASS	-1.12941	0.0261076	OLD_GSE52778
AATF	-0.287752	0.999906	OLD_GSE52778
AATK	1.28917	1	OLD_GSE52778
AATK-AS1	0	1	OLD_GSE52778
ABAT	-1.16224	0.0545677	OLD_GSE52778
ABCA1	-0.112522	0.999906	OLD_GSE52778
ABCA10	1.31624	0.999906	OLD_GSE52778
ABCA11P	0.472972	0.999906	OLD_GSE52778
ABCA12	2.15248	1	OLD_GSE52778
ABCA13	-0.0255462	1	OLD_GSE52778
ABCA17P	1.30669	1	OLD_GSE52778
ABCA2	-0.015625	0.999906	OLD_GSE52778
ABCA3	-0.213836	0.999906	OLD_GSE52778
ABCA4	-1.13781	1	OLD_GSE52778
ABCA5	0.166055	0.999906	OLD_GSE52778
ABCA6	-1.02619	0.0492019	OLD_GSE52778
ABCA7	0.73701	0.999906	OLD_GSE52778
ABCA8	-0.0817	0.999906	OLD_GSE52778
ABCA9	-0.175954	0.999906	OLD_GSE52778
ABCB1	0.714243	0.999906	OLD_GSE52778
ABCB10	-0.386533	0.999906	OLD_GSE52778
ABCB11	0	1	OLD_GSE52778
ABCB4	1.36436	0.999906	OLD_GSE52778
ABCB5	1.77042	0.999906	OLD_GSE52778
ABCB6	0.0369475	0.999906	OLD_GSE52778
ABCB7	0.248785	0.999906	OLD_GSE52778
ABCB8	0.00611141	0.999906	OLD_GSE52778
ABCB9	0.812112	0.999906	OLD_GSE52778
ABCC1	0.372072	0.999906	OLD_GSE52778
ABCC10	-0.0678047	0.999906	OLD_GSE52778
ABCC11	-0.0730285	1	OLD_GSE52778
ABCC12	-1.79769e+308	1	OLD_GSE52778
ABCC13	0	1	OLD_GSE52778
ABCC2	-0.459394	1	OLD_GSE52778
ABCC3	-0.751626	0.999906	OLD_GSE52778
ABCC4	-0.538515	0.999906	OLD_GSE52778
ABCC5	-0.362129	0.999906	OLD_GSE52778
ABCC6	1.03621	0.999906	OLD_GSE52778
ABCC6P1	1.27552	1	OLD_GSE52778
ABCC6P2	0.749212	0.999906	OLD_GSE52778
ABCC8	0	1	OLD_GSE52778
ABCC9	-0.966249	0.420591	OLD_GSE52778
ABCD1	-0.207024	0.999906	OLD_GSE52778
ABCD2	0.0122095	1	OLD_GSE52778
ABCD3	0.0764439	0.999906	OLD_GSE52778
ABCD4	0.215173	0.999906	OLD_GSE52778
ABCE1	-0.256353	0.999906	OLD_GSE52778
